施設名,住所,電話番号(代表),lat,lng
ローゼンかみやま保育園,〒273-0046　船橋市上山町2-288-1,電話：047-406-6010 FAX：047-401-6745,35.732562,139.9744827
こでまり保育園,〒273-0047　船橋市藤原2-2-22,電話：047-703-7700 FAX：047-703-7701,35.7316179,139.9674996
はさま保育園,〒274-0822　船橋市飯山満町3-1512-1,電話：047-467-1999 FAX：047-401-6878,35.7117295,140.0337286
美しが丘保育園,〒274-0060　船橋市坪井東5-18-30,電話：047-457-8806 FAX：047-457-8807,35.7279902,140.0624543
船橋ピコレール保育園,〒273-0003　船橋市宮本2-6-26,電話：047-425-5057 FAX：047-425-5057,35.694728,139.9910652
なの花保育園,〒274-0822　船橋市飯山満町1-967-1,電話：047-405-9512 FAX：047-405-9513,35.7089934,140.0157512
ベル・ナーサリー・アスール,〒273-0021　船橋市海神3-30-1,電話：047-432-1717 FAX：047-432-1718,35.7094476,139.9778173
たちばな保育園,〒274-0825　船橋市前原西2-24-10（代表）,電話：047-470-3745 FAX：047-470-3746,35.69395859999999,140.0242311
南船橋保育園,〒273-0013　船橋市若松2-3-15,電話：047-401-5115 FAX：047-401-5116,35.6791319,139.9971617
高根台グリーンキディ保育園,〒274-0065　船橋市高根台2-10-5,電話：047-465-5900 FAX：047-465-5899,35.7325494,140.0333569
アポロンの丘,〒274-0063　船橋市習志野台2－59－22,電話：047-404-5427 FAX：047-404-5428,35.7276043,140.0472692
リサ保育園,〒273-0024　船橋市海神町南1-728,電話：047-404-5621 FAX：047-404-5631,35.703436,139.9604635
シーガル保育園,〒274-0822　船橋市飯山満町2-1007-1,電話：047-404-7611 FAX：047-404-7612,35.713454,140.021494
敬心ゆめ保育園,〒273-0002　船橋市東船橋3-15-8,電話：047-411-5725 FAX：047-424-7373,35.7007292,140.0090411
ゆいまーる保育園,〒273-0864　船橋市北本町1-12-8,電話：047-424-7711 FAX：047-424-7713,35.7129199,139.9816164
ナーサリー木の実,〒274-0060　船橋市坪井東4-7-60,電話：047-497-8457 FAX:047-497-8458,35.7244571,140.0625864
丸山旭保育園,〒273-0048　船橋市丸山5-33-25,電話：047-438-3383 FAX：047-438-3384,35.7431081,139.9935858
共同保育所 子どもの家,〒273-0005　船橋市本町5-15-9,電話：047-423-1770 FAX：047-460-3700,35.7025289,139.9901585
あい・あい保育園 宮本園,〒273-0003　船橋市宮本3-9-4,電話：047-401-0271 FAX：047-401-0275,35.690573,139.9947837
あまねの杜保育園,〒273-0044　船橋市行田2-9-10,電話：047-401-5011 FAX：047-401-5021,35.7227772,139.9721272
東船橋ちとせ保育園,〒273-0002　船橋市東船橋1-16-25,電話：047-423-5717 FAX：047-423-5718,35.6973485,140.0046507
船橋どろんこ保育園,〒273-0005　船橋市本町6-8-9,電話：047-429-8140 FAX：047-429-8141,35.7055136,139.9861342
グローバルキッズ コトニア西船橋園,〒273-0036　船橋市東中山1-19-13,電話：047-336-6661 FAX：047-318-3317,35.7121752,139.9485808
船橋ハーモニー保育園,〒274-0824　船橋市前原東5-8-8,電話：047-429-8802 FAX：047-429-8801,35.7036449,140.0334566
ミアヘルサ保育園ひびき新船橋,〒273-0021　船橋市海神3-26-30,電話：047-401-3875 FAX：047-401-3876,35.709624,139.979326
えがおの森保育園・にしふなばし,〒273-0033　船橋市本郷町430,電話：047-332-0581 FAX：047-332-0582,35.70780209999999,139.9547175
薬園台・学びの保育園,〒274-0077　船橋市薬円台5-6-7,電話：047-402-4680 FAX：047-402-4681,35.7102433,140.0390976
あい・あい保育園 北習志野園,〒274-0815　船橋市西習志野3-27-7,電話：047-404-7771 FAX：047-404-7772,35.7213755,140.0416589
船橋光の子保育園,〒273-0048　船橋市丸山1-3-3,電話：047-406-7055 FAX：047-406-7056,35.7436048,139.9912462
ブルゥミング保育園,〒273-0003　船橋市宮本1-8-11,電話：047-409-9996 FAX：047-409-9997,35.6995599,139.9917677
そらまめ保育園 新船橋,〒273-0864　船橋市北本町1-17-22,電話：047-455-8682 FAX：047-455-8683,35.7099473,139.9827696
グリュック保育園,〒273-0002　船橋市東船橋1-26-10,電話：047-424-3741 FAX:047-455-3457,35.6973485,140.0046507
あい・あい保育園 船橋法典園,〒273-0046　船橋市上山町1-223-4,電話：047-382-5357 FAX：047-382-5358,35.7311739,139.9703229
あい・あい保育園 西船橋園,〒273-0031　船橋市西船5-26-25　2・3階,電話：047-307-9202 FAX：047-307-9203,35.7098729,139.9569955
船橋法典すきっぷ保育園,〒273-0047　船橋市藤原1-3-10,電話：047-382-5917 FAX：047-382-5918,35.7293702,139.9635814
ゆめのもり保育園,〒274-0825　船橋市前原西7-1-19,電話：047-406-4700 FAX:047-406-4702,35.6978481,140.0249668
塚田ここわ保育園,〒273-0864　船橋市北本町2-41-20,電話：047-407-0243 FAX：047-407-0244,35.7191699,139.9811402
にじいろ保育園 薬円台,〒274-0077　船橋市薬円台1-24-1,電話：047-402-4033 FAX：047-402-4034,35.7078143,140.0431498
まなびの森保育園 飯山満,〒274-0823　船橋市二宮1-71-30,電話：047-466-7788 FAX：047-466-7788,35.7109217,140.0275887
船橋どろんこ保育園 分園,〒273-0005　船橋市本町5-18-25,電話：047-409-2871 FAX：047-409-2872,35.7014346,139.9892594
太陽の子 塚田保育園,〒273-0043　船橋市行田町352-5,電話：047-406-6006 FAX：047-406-6007,35.7233306,139.9811933
りんごのき保育園,〒273-0002　船橋市東船橋1-24-15　グレイス東船橋1階,電話：047-411-8054 FAX：047-413-0666,35.6983525,140.0041162
新船橋ここわ保育園,〒273-0021　船橋市海神5-29-61,電話：047-402-6431 FAX：047-402-6451,35.7112993,139.9702804
西船橋すきっぷ保育園,〒273-0031　船橋市西船4-12-20,電話：047-401-6251 FAX：047-401-6252,35.7102264,139.9597716
ラブキッズ,〒273-0044　船橋市行田3-2-21,電話：047-429-1212 FAX：047-429-1414,35.7184533,139.9707011
まなびの森保育園 東船橋,〒273-0002　船橋市東船橋1-18-12,電話：047-411-1155 FAX：047-411-1155,35.6981874,140.0022367
たんぽぽ西船橋駅前保育園,〒273-0025　船橋市印内町631-1,電話：047-420-3017 FAX：047-420-3018,35.7050271,139.9576134
ゆめわかば保育園,〒274-0824　船橋市前原東2-18-41,電話：047-406-4421 FAX：047-406-4422,35.6978283,140.0311049
たんぽぽ海神町南保育園,〒273-0024　船橋市海神町南1‐1428‐20,電話：047-495-6200 FAX：047-495-6201,35.702167,139.9631021
船橋くれよん保育園,〒274-0060　船橋市坪井東2‐13－27,電話：047-460-9926 FAX：047-460-9928,35.7293129,140.0599654
Milky Way International Nursery School 新船橋校,〒273-0865　船橋市夏見3-20-11,電話：047-455-3225 FAX：047-455-3226,35.7135725,139.986531
西船橋雲母保育園,〒273-0033　船橋市本郷町456-1,電話：047-709-4300 FAX：047-709-4301,35.7081841,139.9536589
そらまめ保育園 西船橋,〒273-0021　船橋市海神6-16-11,電話：047-497-8285 FAX：047-497-8286,35.7062407,139.9686622
まなびの森保育園 船橋競馬場駅前,〒273-0003　船橋市宮本9-1-11,電話：047-402-4402 FAX：047-402-4402,35.6895785,139.9970893
ポポラー千葉新船橋園,〒273-0864　船橋市北本町1-12-17　プラウド船橋クラブハウス2階,電話：047-460-3040 FAX：047-460-3041,35.711967,139.9815336
船橋うめのき保育園,〒273-0046　船橋市上山町1-225-3,電話：047-710-5431 FAX：047-710-5438,35.7309558,139.9702129
ミアヘルサ保育園ひびき新船橋北,〒273-0045　船橋市山手1-1-11,電話：047-498-9370 FAX：047-498-9371,35.7134013,139.9770724
船橋馬込沢雲母保育園,〒273-0046　船橋市上山町2-487-1,電話：047-430-2424 FAX：047-430-2425,35.7362892,139.9803787
船橋こどもの木保育園,〒274-0815　船橋市西習志野2-6-1,電話：047-468-8207 FAX：047-468-8208,35.7254832,140.0352901
京進のほいくえん HOPPA前原西,〒274-0825　船橋市前原西4-12-15,電話：047-489-5260 FAX：047-489-5261,35.698313,140.0153968
ここみ保育園,〒273-0021　船橋市海神1-8-9,電話：047-432-2904 FAX：047-432-2904,35.7003314,139.9803851
