都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考,待機児童（０歳）,待機児童数（1歳）,待機児童数（２歳）,待機児童数（３歳）,待機児童数（４歳）,待機児童数（５歳以上）,待機児童数（計）,緯度_bodik,経度_bodik
122041,23,千葉県,船橋市,リトル・清和,リトル・キヨカズ,小規模保育所,千葉県船橋市前貝塚町646-8,,,,,,047-404-7516,,,,,,15,1歳～2歳,,,,,,,,,0,0,,,,0,35.726264 ,139.975380 
122041,24,千葉県,船橋市,トレポンテ駅前保育園,トレポンテエキマエホイクエン,小規模保育所,千葉県船橋市本町6-8-1,,,,,,047-409-8816,,,,,,19,0歳～2歳,,,,,,,,6,2,0,,,,8,35.705341 ,139.985422 
122041,25,千葉県,船橋市,りりぱっとナーサリー津田沼園,リリパットナーサリーツダヌマエン,小規模保育所,千葉県船橋市前原西2-44-10,,,,,,047-405-2331,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.694175 ,140.019041 
122041,26,千葉県,船橋市,りりぱっとナーサリー中山園,リリパットナーサリーナカヤマエン,小規模保育所,千葉県船橋市本中山2-23-16,,,,,,047-303-3038,,,,,,12,0歳～2歳,,,,,,,,0,0,0,,,,0,35.715089 ,139.942453 
122041,27,千葉県,船橋市,すずらん保育園,スズランホイクエン,小規模保育所,千葉県船橋市三山3-39-2,,,,,,047-409-9541,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.697138 ,140.051560 
122041,28,千葉県,船橋市,健伸むぎの子保育園,ケンシンムギノコホイクエン,小規模保育所,千葉県船橋市丸山5-15-15,,,,,,047-404-8746,,,,,,19,0歳～2歳,,,,,,,,2,7,1,,,,10,35.746086 ,139.994611 
122041,29,千葉県,船橋市,クレヨンキッズ北習志野園,クレヨンキッズキタナラシノエン,小規模保育所,千葉県船橋市習志野台1-34-25,,,,,,047-456-4440,,,,,,19,1歳～2歳,,,,,,,,,0,0,,,,0,35.723085 ,140.040289 
122041,30,千葉県,船橋市,ココファン・ナーサリー西船橋,ココファン・ナーサリーニシフナハシ,小規模保育所,千葉県船橋市二子町610,,,,,,047-302-7761,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.708669 ,139.948837 
122041,31,千葉県,船橋市,東船橋色葉保育園,ヒガシフナハシイロハホイクエン,小規模保育所,千葉県船橋市東船橋4-31-9,,,,,,047-460-2727,,,,,,11,0歳～2歳,,,,,,,,0,0,0,,,,0,35.699521 ,140.005158 
122041,32,千葉県,船橋市,リップル保育園西船橋,リップルホイクエンニシフナハシ,小規模保育所,千葉県船橋市葛飾町2-378-7,,,,,,047-401-5567,,,,,,19,0歳～2歳,,,,,,,,1,0,0,,,,1,35.707227 ,139.956057 
122041,33,千葉県,船橋市,ひかり保育園,ヒカリホイクエン,小規模保育所,千葉県船橋市習志野台4-3-9,,,,,,047-456-6370,,,,,,18,0歳～2歳,,,,,,,,2,0,0,,,,2,35.715433 ,140.044253 
122041,34,千葉県,船橋市,ミアヘルサ保育園ひびき新船橋第二,ミアヘルサホイクエンヒビキシンフナバシダイニ,小規模保育所,千葉県船橋市山手1-3-17,,,,,,047-409-9055,,,,,,19,0歳～2歳,,,,,,,,2,0,0,,,,2,35.711456 ,139.979950 
122041,35,千葉県,船橋市,やきがやなかよし保育園,ヤキガヤナカヨシホイクエン,小規模保育所,千葉県船橋市八木が谷2-18-1,,,,,,047-498-9367,,,,,,19,1歳～2歳,,,,,,,,,0,0,,,,0,35.760739 ,140.032752 
122041,36,千葉県,船橋市,サンヴェルデ保育園,サンヴェルデホイクエン,小規模保育所,千葉県船橋市緑台2-4-17,,,,,,047-402-2270,,,,,,19,1歳～2歳,,,,,,,,,0,0,,,,0,35.728843 ,140.015152 
122041,37,千葉県,船橋市,ひだまり保育園,ヒダマリホイクエン,小規模保育所,千葉県船橋市薬円台6-1-1,,,,,,047-404-8511,,,,,,18,0歳～2歳,,,,,,,,0,0,0,,,,0,35.710184 ,140.037553 
122041,38,千葉県,船橋市,こりんご保育園,コリンゴホイクエン,小規模保育所,千葉県船橋市東船橋1-38-3-2F,,,,,,047-406-4380,,,,,,15,0歳～2歳,,,,,,,,0,0,0,,,,0,35.699181 ,140.004063 
122041,39,千葉県,船橋市,保育ルームサンライズ船橋,ホイクルームサンライズフナバシ,小規模保育所,千葉県船橋市本町1-25-18,,,,,,047-422-0805,,,,,,18,0歳～2歳,,,,,,,,2,0,0,,,,2,35.700845 ,139.982058 
122041,40,千葉県,船橋市,キッズフィールド東船橋駅前園,キッズフィールドヒガシフナバシエキマエエン,小規模保育所,千葉県船橋市東船橋4-31-7-201,,,,,,047-407-3948,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.699438 ,140.004948 
122041,41,千葉県,船橋市,オーチャード・キッズ船橋馬込沢園,オーチャード・キッズフナバシマゴメザワエン,小規模保育所,千葉県船橋市藤原7-3-1-5F,,,,,,047-468-8833,,,,,,19,0歳～2歳,,,,,,,,2,0,0,,,,2,35.741692 ,139.991865 
122041,42,千葉県,船橋市,すくすく北習志野ほいくえん,スクスクキタナラシノホイクエン,小規模保育所,千葉県船橋市習志野台3-17-16,,,,,,047-769-7739,,,,,,19,0歳～2歳,,,,,,,,0,0,0,,,,0,35.719497 ,140.044044 
122041,43,千葉県,船橋市,保育ステーション　ハミングバード,ホイクステーション　ハミングバード,小規模保育所,千葉県船橋市習志野台3-1-1-3F,,,,,,047-401-4795,,,,,,19,1歳～2歳,,,,,,,,,0,1,,,,1,35.721099 ,140.042446 
122041,44,千葉県,船橋市,前原ベイビーズ保育園,マエハラベイビーズホイクエン,小規模保育所,千葉県船橋市前原東5-16-15,,,,,,047-411-9185,,,,,,19,0歳～2歳,,,,,,,,0,2,0,,,,2,35.700078 ,140.030950 
122041,45,千葉県,船橋市,宮本第一保育園,ミヤモトダイイチホイクエン,公立保育園,千葉県船橋市宮本6-26-27,,,,,,047-422-5639,,,,船橋市,,126,0歳～5歳,,,,,,,,2,0,1,0,0,0,3,35.697922 ,139.995679 
122041,46,千葉県,船橋市,宮本第二保育園,ミヤモトダイニホイクエン,公立保育園,千葉県船橋市宮本8-9-10,,,,,,047-423-1304,,,,船橋市,,168,0歳～5歳,,,,,,,,8,0,0,0,0,0,8,35.691483 ,140.000104 
122041,47,千葉県,船橋市,若松保育園,ワカマツホイクエン,公立保育園,千葉県船橋市若松2-6-3,,,,,,047-433-4041,,,,船橋市,,168,0歳～5歳,,,,,,,,2,3,1,0,0,0,6,35.679139 ,139.997149 
122041,48,千葉県,船橋市,湊町保育園,ミナトチョウホイクエン,公立保育園,千葉県船橋市湊町1-16-23,,,,,,047-431-4961,,,,船橋市,,277,0歳～5歳,,,,,,,,10,2,1,0,0,0,13,35.692838 ,139.985127 
122041,49,千葉県,船橋市,千鳥保育園,チドリホイクエン,公立保育園,千葉県船橋市南本町13-1,,,,,,047-431-5061,,,,船橋市,,213,0歳～5歳,,,,,,,,15,3,0,1,1,0,20,35.698057 ,139.976935 
122041,50,千葉県,船橋市,中央保育園,チュウオウホイクエン,公立保育園,千葉県船橋市本町4-17-21,,,,,,047-422-4762,,,,船橋市,,209,0歳～5歳,,,,,,,,9,2,0,0,0,0,11,35.699930 ,139.988984 
122041,51,千葉県,船橋市,本町保育園,ホンマチホイクエン,公立保育園,千葉県船橋市本町6-7-18,,,,,,047-424-7011,,,,船橋市,,140,0歳～5歳,,,,,,,,11,2,2,1,0,0,16,35.705210 ,139.987444 
122041,52,千葉県,船橋市,海神第一保育園,カイジンダイイチホイクエン,公立保育園,千葉県船橋市海神2-13-25,,,,,,047-422-2462,,,,船橋市,,244,0歳～5歳,,,,,,,,21,1,0,0,0,0,22,35.704295 ,139.981581 
122041,53,千葉県,船橋市,海神第二保育園,カイジンダイニホイクエン,公立保育園,千葉県船橋市本町1-23-7,,,,,,047-435-0783,,,,船橋市,,75,0歳～5歳,,,,,,,,5,0,0,0,0,0,5,35.699987 ,139.981270 
122041,54,千葉県,船橋市,西船保育園,ニシフナホイクエン,公立保育園,千葉県船橋市西船6-1-24,,,,,,047-333-8187,,,,船橋市,,150,0歳～5歳,,,,,,,,10,2,2,0,0,0,14,35.713913 ,139.958122 
122041,55,千葉県,船橋市,本中山保育園,ホンナカヤマホイクエン,公立保育園,千葉県船橋市本中山5-6-1,,,,,,047-333-6451,,,,船橋市,,155,0歳～5歳,,,,,,,,9,0,1,1,0,0,11,35.707236 ,139.942625 
122041,56,千葉県,船橋市,若葉保育園,ワカバホイクエン,公立保育園,千葉県船橋市藤原7-41-1,,,,,,047-439-0472,,,,船橋市,,163,0歳～5歳,,,,,,,,31,3,8,0,0,0,42,35.744004 ,139.988008 
122041,57,千葉県,船橋市,行田保育園,ギョウダホイクエン,公立保育園,千葉県船橋市行田3-1-2,,,,,,047-439-5000,,,,船橋市,,201,0歳～5歳,,,,,,,,12,7,2,0,0,0,21,35.717036 ,139.969447 
122041,58,千葉県,船橋市,夏見第一保育園,ナツミダイイチホイクエン,公立保育園,千葉県船橋市夏見4-10-26,,,,,,047-422-5198,,,,船橋市,,147,0歳～5歳,,,,,,,,13,2,4,1,1,1,22,35.712894 ,139.992031 
122041,59,千葉県,船橋市,夏見第二保育園,ナツミダイニホイクエン,公立保育園,千葉県船橋市夏見台4-1-1,,,,,,047-439-6231,,,,船橋市,,150,0歳～5歳,,,,,,,,4,3,1,0,0,0,8,35.722828 ,139.992079 
122041,60,千葉県,船橋市,高根保育園,タカネホイクエン,公立保育園,千葉県船橋市新高根4-19-2,,,,,,047-463-1418,,,,船橋市,,165,0歳～5歳,,,,,,,,16,0,3,0,1,1,21,35.731913 ,140.026873 
122041,61,千葉県,船橋市,金杉台保育園,カナスギダイホイクエン,公立保育園,千葉県船橋市金杉台1-1-6,,,,,,047-447-0022,,,,船橋市,,120,0歳～5歳,,,,,,,,8,2,2,1,0,0,13,35.735244 ,140.011386 
122041,62,千葉県,船橋市,二和保育園,フタワホイクエン,公立保育園,千葉県船橋市二和東5-50-1,,,,,,047-447-0801,,,,船橋市,,147,0歳～5歳,,,,,,,,17,4,1,2,0,1,25,35.751493 ,140.025349 
122041,63,千葉県,船橋市,三山保育園,サンザンホイクエン,公立保育園,千葉県船橋市三山6-26-26,,,,,,047-476-2701,,,,船橋市,,162,0歳～5歳,,,,,,,,10,1,1,3,0,2,17,35.701420 ,140.058104 
122041,64,千葉県,船橋市,二宮保育園,ニノミヤホイクエン,公立保育園,千葉県船橋市前原西6-1-12,,,,,,047-472-1097,,,,船橋市,,195,0歳～5歳,,,,,,,,9,6,3,0,0,0,18,35.699956 ,140.019760 
122041,65,千葉県,船橋市,習志野台第一保育園,ナラシノダイダイイチホイクエン,公立保育園,千葉県船橋市習志野台2-50-3,,,,,,047-465-4124,,,,船橋市,,248,0歳～5歳,,,,,,,,36,3,1,1,1,0,42,35.723273 ,140.046244 
122041,66,千葉県,船橋市,習志野台第二保育園,ナラシノダイダイニホイクエン,公立保育園,千葉県船橋市習志野台6-7-1,,,,,,047-464-3818,,,,船橋市,,152,0歳～5歳,,,,,,,,8,2,1,3,0,0,14,35.726656 ,140.049602 
122041,67,千葉県,船橋市,高根台保育園,タカネダイホイクエン,公立保育園,千葉県船橋市高根台2-2-2,,,,,,047-466-2611,,,,船橋市,,200,0歳～5歳,,,,,,,,5,1,3,0,0,0,9,35.733850 ,140.031481 
122041,68,千葉県,船橋市,緑台保育園,ミドリダイホイクエン,公立保育園,千葉県船橋市緑台2-4-11,,,,,,047-447-9122,,,,船橋市,,120,0歳～5歳,,,,,,,,3,0,0,0,0,0,3,35.729931 ,140.013269 
122041,69,千葉県,船橋市,芝山第一保育園,シバヤマダイイチホイクエン,公立保育園,千葉県船橋市芝山3-10-4,,,,,,047-462-7575,,,,船橋市,,187,0歳～5歳,,,,,,,,18,3,4,1,0,0,26,35.717850 ,140.019475 
122041,70,千葉県,船橋市,小室保育園,コムロホイクエン,公立保育園,千葉県船橋市小室町3305,,,,,,047-457-1717,,,,船橋市,,120,0歳～5歳,,,,,,,,16,7,3,0,0,1,27,35.788141 ,140.076097 
122041,71,千葉県,船橋市,浜町保育園,ハママチホイクエン,公立保育園,千葉県船橋市浜町1-1-1,,,,,,047-431-3262,,,,船橋市,,143,0歳～5歳,,,,,,,,3,0,0,0,0,0,3,35.691239 ,139.989349 
122041,72,千葉県,船橋市,めぐみ保育園,メグミホイクエン,私立保育園,千葉県船橋市薬円台4-6-1,,,,,,047-466-0566,,,,,,222,0歳～5歳,,,,,,,,16,3,4,1,0,0,24,35.712419 ,140.046775 
122041,73,千葉県,船橋市,中山あけぼの保育園,ナカヤマアケボノホイクエン,私立保育園,千葉県船橋市本中山3-19-3,,,,,,047-334-9950,,,,,,170,0歳～5歳,,,,,,,,9,1,0,0,0,0,10,35.713203 ,139.942313 
122041,74,千葉県,船橋市,ひばり保育園,ヒバリホイクエン,私立保育園,千葉県船橋市松が丘1-33-4,,,,,,047-466-5915,,,,,,120,0歳～5歳,,,,,,,,3,0,0,0,0,0,3,35.735253 ,140.040021 
122041,75,千葉県,船橋市,杉の子保育園,スギノコホイクエン,私立保育園,千葉県船橋市新高根3-8-1,,,,,,047-465-2336,,,,,,120,0歳～5歳,,,,,,,,1,1,0,0,0,0,2,35.729631 ,140.022560 
122041,76,千葉県,船橋市,しらゆり保育園,シラユリホイクエン,私立保育園,千葉県船橋市北本町2-47-7,,,,,,047-422-5051,,,,,,100,0歳～5歳,,,,,,,,15,4,0,0,0,0,19,35.720777 ,139.984000 
122041,77,千葉県,船橋市,あすなろ保育園,アスナロホイクエン,私立保育園,千葉県船橋市二和西2-6-1,,,,,,047-447-0023,,,,,,120,0歳～5歳,,,,,,,,1,1,0,0,0,0,2,35.741980 ,140.014771 
122041,78,千葉県,船橋市,たかね台ベビーホーム,タカネダイベビーホーム,私立保育園,千葉県船橋市高根台1-9-23-201,,,,,,047-465-1100,,,,,,30,0歳～2歳,,,,,,,,5,0,0,,,,5,35.730606 ,140.030510 
122041,79,千葉県,船橋市,まこと保育園,マコトホイクエン,私立保育園,千葉県船橋市神保町275-34,,,,,,047-457-1685,,,,,,150,0歳～5歳,,,,,,,,4,2,3,0,0,0,9,35.764391 ,140.055900 
122041,80,千葉県,船橋市,まこと保育園分園,マコトホイクエンブンエン,私立保育園,千葉県船橋市習志野台2-73-9,,,,,,047-465-0230,,,,,,29,0歳～2歳,,,,,,,,2,0,0,,,,2,35.725274 ,140.045508 
122041,81,千葉県,船橋市,三咲小鳩保育園,ミサキコバトホイクエン,私立保育園,千葉県船橋市三咲3-6-2,,,,,,047-447-7612,,,,,,300,0歳～5歳,,,,,,,,19,2,4,1,1,0,27,35.753879 ,140.036454 
122041,82,千葉県,船橋市,てまり保育園,テマリホイクエン,私立保育園,千葉県船橋市藤原5-4-39,,,,,,047-438-0073,,,,,,130,0歳～5歳,,,,,,,,10,7,1,0,0,0,18,35.738814 ,139.979188 
122041,83,千葉県,船橋市,みどり保育園,ミドリホイクエン,私立保育園,千葉県船橋市市場4-12-3,,,,,,047-424-4152,,,,,,120,0歳～5歳,,,,,,,,8,3,1,0,0,0,12,35.703280 ,139.999396 
122041,84,千葉県,船橋市,三山つくし保育園,サンザンツクシホイクエン,私立保育園,千葉県船橋市三山9-31-7,,,,,,047-473-4435,,,,,,143,0歳～5歳,,,,,,,,1,0,0,0,1,0,2,35.693395 ,140.062584 
122041,85,千葉県,船橋市,アンデルセン保育園,アンデルセンホイクエン,私立保育園,千葉県船橋市習志野台7-8-21,,,,,,047-462-8111,,,,,,120,0歳～5歳,,,,,,,,6,1,2,0,0,0,9,35.727379 ,140.052193 
122041,86,千葉県,船橋市,やまびこ保育園,ヤマビコホイクエン,私立保育園,千葉県船橋市咲が丘2-11-5,,,,,,047-449-0225,,,,,,160,0歳～5歳,,,,,,,,7,1,1,0,0,0,9,35.760739 ,140.022211 
122041,87,千葉県,船橋市,弥生保育園,ヤヨイホイクエン,私立保育園,千葉県船橋市本中山3-4-18,,,,,,047-332-7280,,,,,,150,0歳～5歳,,,,,,,,5,0,0,0,0,0,5,35.710973 ,139.945285 
122041,88,千葉県,船橋市,かもめ保育園,カモメホイクエン,私立保育園,千葉県船橋市新高根6-43-3,,,,,,047-466-5553,,,,,,90,0歳～5歳,,,,,,,,2,0,2,0,0,0,4,35.727240 ,140.025719 
122041,89,千葉県,船橋市,かもめ保育園芝山分園,カモメホイクエンシバヤマブンエン,私立保育園,千葉県船橋市芝山3-10-8,,,,,,047-456-4353,,,,,,29,0歳～2歳,,,,,,,,3,1,0,,,,4,35.716047 ,140.020623 
122041,90,千葉県,船橋市,前原保育園,マエハラホイクエン,私立保育園,千葉県船橋市前原西8-23-5,,,,,,047-465-2429,,,,,,90,0歳～5歳,,,,,,,,0,1,0,0,0,0,1,35.703197 ,140.027082 
122041,91,千葉県,船橋市,ベル・ナーサリー,ベル・ナーサリー,私立保育園,千葉県船橋市行田1-49-1,,,,,,047-430-0086,,,,,,60,0歳～2歳,,,,,,,,3,1,0,,,,4,35.720927 ,139.978843 
122041,92,千葉県,船橋市,アンデルセン第二保育園,アンデルセンダイニホイクエン,私立保育園,千葉県船橋市習志野台5-43-3,,,,,,047-468-4686,,,,,,70,0歳～5歳,,,,,,,,0,1,0,0,0,0,1,35.718852 ,140.054360 
122041,93,千葉県,船橋市,西船みどり保育園,ニシセンミドリホイクエン,私立保育園,千葉県船橋市西船1-21-50,,,,,,047-435-4152,,,,,,100,0歳～5歳,,,,,,,,13,2,1,0,0,0,16,35.705750 ,139.963712 
122041,94,千葉県,船橋市,アリスなかよし保育園,アリスナカヨシホイクエン,私立保育園,千葉県船橋市西船2-29-28,,,,,,047-436-1212,,,,,,90,0歳～5歳,,,,,,,,5,1,0,0,0,0,6,35.713930 ,139.970257 
122041,95,千葉県,船橋市,ロータス保育園,ロータスホイクエン,私立保育園,千葉県船橋市藤原5-23-2,,,,,,047-439-6663,,,,,,60,0歳～5歳,,,,,,,,3,1,1,0,0,0,5,35.739785 ,139.982225 
122041,96,千葉県,船橋市,海神南保育園,カイジンミナミホイクエン,私立保育園,千葉県船橋市海神町南1-1627-2,,,,,,047-411-6543,,,,,,80,0歳～5歳,,,,,,,,1,0,0,0,0,0,1,35.700161 ,139.967623 
122041,97,千葉県,船橋市,前原ひまわり保育園,マエハラヒマワリホイクエン,私立保育園,千葉県船橋市前原西4-18-19,,,,,,047-474-7788,,,,,,110,0歳～5歳,,,,,,,,10,4,0,0,0,0,14,35.696685 ,140.016482 
122041,98,千葉県,船橋市,夏見台保育園,ナツミダイホイクエン,私立保育園,千葉県船橋市夏見台2-16-1,,,,,,047-429-7231,,,,,,60,0歳～5歳,,,,,,,,10,2,0,0,0,0,12,35.721282 ,139.996333 
122041,99,千葉県,船橋市,プレスクール・ベル,プレスクール・ベル,私立保育園,千葉県船橋市海神4-23-16,,,,,,047-410-0311,,,,,,100,3歳～5歳,,,,,,,,,,,0,0,0,0,35.709326 ,139.974908 
122041,100,千葉県,船橋市,みそら保育園,ミソラホイクエン,私立保育園,千葉県船橋市東中山2-1-20,,,,,,047-302-2505,,,,,,90,0歳～5歳,,,,,,,,15,3,4,0,0,0,22,35.714409 ,139.954308 
122041,101,千葉県,船橋市,さくら保育園,サクラホイクエン,私立保育園,千葉県船橋市二子町474,,,,,,047-302-8301,,,,,,120,0歳～5歳,,,,,,,,12,3,0,0,0,0,15,35.709718 ,139.950103 
122041,102,千葉県,船橋市,印内保育園,インナイホイクエン,私立保育園,千葉県船橋市印内2-2-31,,,,,,047-433-8368,,,,,,60,0歳～5歳,,,,,,,,1,0,0,0,0,0,1,35.714932 ,139.964962 
122041,103,千葉県,船橋市,船橋あおぞら保育園,フナバシアオゾラホイクエン,私立保育園,千葉県船橋市三咲3-12-55,,,,,,047-407-9870,,,,,,60,0歳～5歳,,,,,,,,5,2,1,0,0,0,8,35.753069 ,140.032420 
122041,104,千葉県,船橋市,船橋あおぞら保育園分園,フナバシアオゾラホイクエンブンエン,私立保育園,千葉県船橋市二和東6-16-10　エバラビル2階,,,,,,047-440-8977,,,,,,15,0歳～2歳,,,,,,,,0,0,0,,,,0,35.755468 ,140.022957 
122041,105,千葉県,船橋市,ククルなかよし保育園,ククルナカヨシホイクエン,私立保育園,千葉県船橋市夏見2-11-43,,,,,,047-424-0101,,,,,,150,0歳～5歳,,,,,,,,13,4,1,0,0,0,18,35.708960 ,139.987900 
122041,106,千葉県,船橋市,なないろ保育園,ナナイロホイクエン,私立保育園,千葉県船橋市行田1-39-5,,,,,,047-407-1201,,,,,,100,0歳～5歳,,,,,,,,5,2,2,0,0,0,9,35.722454 ,139.977821 
122041,107,千葉県,船橋市,ローゼンかみやま保育園,ローゼンカミヤマホイクエン,私立保育園,千葉県船橋市上山町2-288-1,,,,,,047-406-6010,,,,,,90,0歳～5歳,,,,,,,,4,2,1,0,0,0,7,35.732588 ,139.974414 
122041,108,千葉県,船橋市,こでまり保育園,コデマリホイクエン,私立保育園,千葉県船橋市藤原2-2-22,,,,,,047-703-7700,,,,,,60,0歳～5歳,,,,,,,,7,0,0,0,0,0,7,35.731560 ,139.967591 
